true_lambda,b_modeled,.lower,.upper,.width,.point,.interval
-2.2,-2.153557538379267,-2.229457067526294,-2.076412598697432,0.95,median,qi
-2.088888888888889,-2.087682140094551,-2.1531360203684526,-2.0153523454740614,0.95,median,qi
-1.9777777777777779,-2.0187219406842045,-2.084368896908736,-1.9576776493379464,0.95,median,qi
-1.8666666666666667,-1.8695588831907872,-1.9267298074425823,-1.808690648668487,0.95,median,qi
-1.7555555555555555,-1.7043787745248715,-1.7508749925202154,-1.6545616247121733,0.95,median,qi
-1.6444444444444444,-1.6042905073538456,-1.650374341292978,-1.562461761765629,0.95,median,qi
-1.5333333333333334,-1.5014572910188098,-1.5448080761928853,-1.4626222579479864,0.95,median,qi
-1.4222222222222223,-1.417796433849339,-1.4488174036231007,-1.3765614421526484,0.95,median,qi
-1.3111111111111111,-1.3021180903595286,-1.3378132707069408,-1.2645259959786825,0.95,median,qi
-1.2,-1.1962565081910337,-1.2303435971774468,-1.164419043584307,0.95,median,qi
